id,名前,メッセージ
opening_01_01,私,...えっと...？<br>ここはどこだろう。
opening_01_02,私,あれ、私の身体、だいぶ丸く...。<br>だいぶというか、これもう球体...？
opening_01_03,私,あー、うん。<br>夢かな、たぶん。
opening_01_04,私,夢に文句言っても仕方ないね。<br>そうとわかれば、目が覚めるまで<br>適当に過ごそうっと。
novel_01_01,私,<b><size=30>第一章　はじまり</size></b>
novel_01_02,私,たくさんの醜い言葉が刻まれた机の上。<br>水浸しの椅子。
novel_01_03,私,呆然とそれを見つめている幼馴染。<br>くすくすと、小さい嘲笑が聞こえる教室。
novel_01_04,私,何もできず、立ち尽くす私。
novel_01_05,私,たしかあれは、梅雨が終わって蝉の声も<br>聞こえるようになった日のことだった。
novel_01_06,私,いつも通り朝、私の家の前で待ち合わせて<br>幼馴染と一緒に学校へ行く。
novel_01_07,私,何気ない日常の一幕のはずだった。
novel_01_08,私,幼馴染は、明るい元気な子だった。
novel_01_09,私,可愛くて、いつも笑顔で。<br>誰相手でも気兼ねなく話していく。
novel_01_10,私,皆に愛される子だったし、教室の<br>喧騒の中心にはいつも幼馴染がいた。
novel_01_11,私,そんな子の幼馴染になれたことが<br>私の一番の自慢だった。
novel_01_12,私,尊敬していて、憧れで。<br>何より世界一仲の良い私の幼馴染。
novel_01_13,私,だから、教室についてから見たあの光景は<br>本当にわからなかったし、怖かった。
novel_01_14,私,幼馴染に起きたことで、自分は違うはず<br>なのに、手はがたがた震えていた。
novel_01_15,私,登校中、あんなに笑顔だった幼馴染は、<br>無表情で、何も言わず、何も動かず。
novel_01_16,私,時が止まったかのように机のそばに<br>立ち続けていた。
novel_01_17,私,私なんかより、絶対に幼馴染の方が<br>怖いはずなのに。
novel_01_18,私,それなのに私はただただ周囲の視線とか<br>冷たい笑い声とかを気にして。<br>勝手に怖くなって幼馴染を見ているだけ。
novel_01_19,私,遠くでチャイムの音が聞こえる。
novel_01_20,私,日常を破壊する宣告が、ゆっくり鼓膜に<br>響いている。
